transaction_id,account_id,category,txn_date,original_amount,amount,multiplier
40,E6000,Benefits,2024-07-22,5056.82,47432.97,9.38
64,R4000,Product Sales - SMB,2024-08-05,7741.94,86322.63,11.15
139,E6000,Payroll Tax,2024-09-10,146.58,894.14,6.1
281,R4000,Product Sales - Renewal,2024-11-22,11183.22,83091.32,7.43
302,E6300,Meals,2024-12-02,669.4,4993.72,7.46
369,E6300,Meals,2024-12-31,1009.87,11340.84,11.23
456,E6300,Hotel,2025-02-19,307.64,2731.84,8.88
688,E5000,Manufacturing Labor,2025-06-19,5590.17,37174.63,6.65
751,E6000,Benefits,2025-07-21,4661.66,43726.37,9.38
794,E6500,Consulting Fees,2025-08-15,3363.15,17522.01,5.21
798,E6000,Payroll Tax,2025-08-17,7628.83,59123.43,7.75
840,E6100,Events,2025-09-08,13640.27,161637.2,11.85
888,E6500,Legal,2025-10-02,2070.97,15180.21,7.33
1060,E6500,Legal,2026-01-02,3727.88,39813.76,10.68
1397,E6400,Supplies,2026-06-24,4435.52,47460.06,10.7
1402,E6500,Accounting,2026-06-28,5316.95,45247.24,8.51
